N_Ep,Env_Steps,Avf_RM,Avg_EPLM
0.0,1.0,0.0,0.0
68.0,10001.0,-211.5,150.5
135.0,20001.0,-184.39999389648438,152.60000610351562
210.0,30001.0,-141.10000610351562,116.4000015258789
280.0,40001.0,-129.5,156.5
338.0,50001.0,-92.80000305175781,159.1999969482422
400.0,60001.0,-59.099998474121094,170.39999389648438
454.0,70001.0,-20.200000762939453,161.8000030517578
512.0,80001.0,-13.0,155.0
568.0,90001.0,7.800000190734863,133.3000030517578
630.0,100001.0,79.69999694824219,199.1999969482422
683.0,110001.0,142.6999969482422,267.20001220703125
746.0,120001.0,78.19999694824219,189.6999969482422
808.0,130001.0,20.799999237060547,125.80000305175781
863.0,140001.0,67.30000305175781,184.3000030517578
918.0,150001.0,127.30000305175781,252.3000030517578
971.0,160001.0,87.5999984741211,210.60000610351562
1032.0,170001.0,58.400001525878906,191.89999389648438
1093.0,180001.0,83.0999984741211,198.60000610351562
1153.0,190001.0,68.69999694824219,183.1999969482422
1211.0,200001.0,49.79999923706055,155.3000030517578
1274.0,210001.0,53.20000076293945,162.1999969482422
1339.0,220001.0,44.20000076293945,158.6999969482422
1405.0,230001.0,52.79999923706055,166.3000030517578
1470.0,240001.0,16.200000762939453,121.19999694824219
1532.0,250001.0,24.200000762939453,132.1999969482422
1594.0,260001.0,18.899999618530273,128.89999389648438
1663.0,270001.0,53.29999923706055,164.8000030517578
1727.0,280001.0,20.600000381469727,129.10000610351562
1790.0,290001.0,53.29999923706055,169.3000030517578
1847.0,300001.0,65.69999694824219,180.6999969482422
1910.0,310001.0,36.900001525878906,145.39999389648438
1966.0,320001.0,108.80000305175781,228.8000030517578
2020.0,330001.0,70.0,185.0
2083.0,340001.0,42.79999923706055,161.8000030517578
2137.0,350001.0,86.9000015258789,200.39999389648438
2210.0,360001.0,58.400001525878906,177.39999389648438
2265.0,370001.0,68.30000305175781,180.8000030517578
2323.0,380001.0,54.099998474121094,163.60000610351562
2375.0,390001.0,60.599998474121094,173.10000610351562
2436.0,400001.0,21.799999237060547,130.3000030517578
2497.0,410001.0,76.9000015258789,186.39999389648438
2558.0,420001.0,46.900001525878906,153.39999389648438
2622.0,430001.0,46.70000076293945,156.6999969482422
2693.0,440001.0,10.800000190734863,113.80000305175781
2750.0,450001.0,62.0,173.0
2810.0,460001.0,44.900001525878906,151.89999389648438
2866.0,470001.0,81.5,193.0
2934.0,480001.0,32.599998474121094,134.60000610351562
2995.0,490001.0,97.5999984741211,208.60000610351562
