N_Ep,Env_Steps,Avf_RM,Avg_EPLM
0.0,1.0,0.0,0.0
2735.0,10001.0,-97.5,3.5
5216.0,20001.0,-94.5,6.5
7778.0,30001.0,-96.4000015258789,4.599999904632568
10233.0,40001.0,-96.9000015258789,4.099999904632568
12533.0,50001.0,-95.4000015258789,5.0
14695.0,60001.0,-95.69999694824219,5.300000190734863
16843.0,70001.0,-95.19999694824219,5.5
18965.0,80001.0,-95.30000305175781,5.400000095367432
21024.0,90001.0,-96.0999984741211,4.900000095367432
22911.0,100001.0,-94.9000015258789,5.800000190734863
24639.0,110001.0,-96.4000015258789,4.599999904632568
26293.0,120001.0,-90.80000305175781,8.699999809265137
27820.0,130001.0,-93.9000015258789,7.099999904632568
29312.0,140001.0,-95.5999984741211,4.800000190734863
30626.0,150001.0,-94.19999694824219,6.800000190734863
31792.0,160001.0,-93.0,7.400000095367432
32873.0,170001.0,-91.5,9.199999809265137
33855.0,180001.0,-91.4000015258789,9.0
34679.0,190001.0,-92.0,9.0
35429.0,200001.0,-86.5,13.600000381469727
36091.0,210001.0,-84.4000015258789,16.0
36562.0,220001.0,-78.9000015258789,21.799999237060547
36982.0,230001.0,-69.5,30.0
37239.0,240001.0,-65.5999984741211,34.5
37398.0,250001.0,11.0,109.5999984741211
37493.0,260001.0,9.699999809265137,107.0999984741211
37577.0,270001.0,-19.100000381469727,78.9000015258789
37674.0,280001.0,10.600000381469727,107.69999694824219
37760.0,290001.0,11.800000190734863,108.0
37846.0,300001.0,24.0,119.5999984741211
37934.0,310001.0,16.0,113.4000015258789
38027.0,320001.0,26.299999237060547,124.30000305175781
38128.0,330001.0,16.0,113.4000015258789
38218.0,340001.0,12.0,110.9000015258789
38309.0,350001.0,29.299999237060547,125.19999694824219
38402.0,360001.0,25.799999237060547,121.4000015258789
38492.0,370001.0,8.800000190734863,105.5999984741211
38587.0,380001.0,-3.9000000953674316,94.0999984741211
38674.0,390001.0,6.400000095367432,105.9000015258789
38771.0,400001.0,-26.899999618530273,73.80000305175781
38865.0,410001.0,-13.399999618530273,84.9000015258789
38945.0,420001.0,25.799999237060547,122.5999984741211
39032.0,430001.0,29.700000762939453,127.69999694824219
39120.0,440001.0,38.400001525878906,134.60000610351562
39214.0,450001.0,-7.400000095367432,90.30000305175781
39309.0,460001.0,9.100000381469727,106.19999694824219
39397.0,470001.0,75.69999694824219,167.10000610351562
39490.0,480001.0,29.399999618530273,124.4000015258789
39574.0,490001.0,48.79999923706055,142.3000030517578
39653.0,500001.0,24.899999618530273,119.0
39733.0,510001.0,75.30000305175781,167.3000030517578
39815.0,520001.0,48.400001525878906,138.0
39904.0,530001.0,-4.599999904632568,94.30000305175781
39982.0,540001.0,2.200000047683716,99.9000015258789
40068.0,550001.0,42.400001525878906,137.39999389648438
40169.0,560001.0,7.599999904632568,104.0999984741211
40250.0,570001.0,37.0,129.3000030517578
40327.0,580001.0,10.899999618530273,110.0999984741211
40411.0,590001.0,8.0,104.5
40499.0,600001.0,30.899999618530273,125.30000305175781
40575.0,610001.0,2.5999999046325684,98.5
40649.0,620001.0,63.900001525878906,155.89999389648438
40729.0,630001.0,18.200000762939453,112.0
